npi,specialty_code
1013078427,18
1013078427,66
1013078625,36
1013079649,30
1013080076,40
1013080167,41
1013080654,1
1013080944,41
1013081611,41
1013081629,16
1013081835,36
1013082403,1
1013082593,40
1013082643,41
1013082643,67
1013082726,8
1013082726,41
1013083179,6
1013083179,41
1013083765,22
1013084011,18
1013084029,77
1013084037,4
1013084037,17
1013084037,84
1013084821,1
1013084821,41
1013084839,1
1013084904,24
1013084920,1
1013084920,41
1013084938,18
1013084961,1
1013084961,66
1013084961,67
1013084979,2
1013084987,30
1013084995,40
1013085018,5
1013085810,6
1013086289,8
1013086289,1
1013086420,66
1013086768,16
1013087311,8
1013087410,41
1013088046,41
1013088087,8
1013088772,40
1013088772,66
1013088830,16
1013088863,40
1013088863,68
1013088863,78
1013088871,10
1013088871,40
1013088905,41
1013088913,40
1013088939,41
1013088996,41
1013089580,41
1013089580,45
1013089655,13
1013089663,20
1013089762,41
1013089838,26
1013089846,41
1013089853,40
1013089861,13
1013090117,30
1013090810,2
1013091008,40
1013091040,66
1013091081,6
1013091099,22
1013091396,7
1013091487,1
1013091487,8
1013091677,41
1013091958,7
1013092774,1
1013092782,1
1013092980,41
1013093327,20
1013093525,1
1013093533,24
1013093541,34
1013093558,8
1013093558,41
1013094515,29
1013094945,16
1013094952,41
1013095108,2
1013095116,40
1013095512,26
1013095595,16
1013095611,41
1013095637,16
1013095645,66
1013095652,18
1013095660,41
1013095660,68
1013095660,78
1013095686,16
1013095736,36
1013095751,8
1013095769,13
1013095777,40
1013095785,30
1013095793,5
1013095801,41
1013095827,83
1013095835,1
1013095876,16
1013095884,18
1013095900,9
1013095900,16
1013095918,20
1013095926,40
1013096064,41
1013096080,1
1013096148,40
1013096155,1
1013096163,66
1013096585,40
1013096718,1
1013096742,41
1013097401,13
1013097534,2
1013097534,34
1013098177,40
1013098177,67
1013098516,21
1013098516,33
1013098516,41
1013098557,41
1013098664,4
1013099043,40
1013099746,41
1013099951,36
1013100338,8
1013100742,25
1013100874,16
1013101500,2
1013101500,85
1013101633,2
1013102318,8
1013102581,40
1013102854,41
1013102854,45
1013103324,24
1013104025,36
1013104215,20
1013104488,41
1013105212,6
1013105212,41
1013105527,16
1013105725,5
1013106640,40
1013106897,36
1013107051,41
1013107275,22
1013108513,25
1013108794,8
1013109461,41
1013109495,16
1013109495,34
1013109818,41
1013109925,40
1013110717,13
1013112820,30
1013112986,20
1013113026,30
1013113208,10
1013113257,41
1013113398,40
1013113679,66
1013113737,36
1013114032,8
1013114420,8
1013114719,16
1013115104,66
1013116433,2
1013116441,2
1013116557,1
1013116714,8
1013117183,20
1013117605,16
1013117696,5
1013117795,41
1013117977,30
1013118256,7
1013118264,8
1013118454,79
1013118801,24
1013118843,7
1013118884,41
1013118900,5
1013119734,5
1013120120,30
1013120260,41
1013120294,25
1013122605,41
1013122761,41
1013123280,14
1013123595,18
1013123694,41
1013123827,40
1013124288,8
1013124635,66
1013124890,36
1013127554,8
1013128297,40
1013128347,13
1013128552,8
1013128610,8
1013129113,8
1013131002,22
1013132448,8
1013132596,41
1013132901,20
1013133123,16
1013135003,40
1013137991,14
1013138015,26
1013138015,36
1013139732,41
1013140276,29
1013140276,41
1013142348,30
1013142678,1
1013142678,8
1013143718,1
1013144096,18
1013144179,22
1013144187,77
1013144567,41
1013144724,41
1013145127,18
1013145200,41
1013145267,41
1013145457,8
1013145556,41
1013145556,68
1013145556,78
1013146059,22
1013146307,7
1013146364,67
1013146729,66
1013146794,41
1013147107,41
1013147206,10
1013147388,5
1013148246,17
1013148535,8
1013148568,8
1013148857,1
1013148998,16
1013149012,6
1013149533,40
1013149533,67
1013150499,6
1013150499,8
1013150499,41
1013150630,1
1013150630,7
1013151588,10
1013151695,16
1013151976,36
1013152511,40
1013152768,41
1013154111,6
1013154111,41
1013154400,41
1013155019,2
1013155092,20
1013155175,41
1013156520,16
1013156850,41
1013159359,66
1013159466,40
1013159508,1
1013159912,2
1013160480,66
1013161306,8
1013161843,36
1013162452,8
1013163229,41
1013163294,41
1013163542,40
1013164136,1
1013164243,2
1013164847,5
1013165406,25
1013166800,41
1013167196,29
1013167196,41
1013168400,8
1013168483,41
1013168749,41
1013168749,83
1013168921,5
1013169085,24
1013169572,66
1013169671,5
1013169911,28
1013169937,13
1013169986,41
1013170026,40
1013171230,8
1013171339,13
1013171800,2
1013171834,13
1013172113,20
1013172519,41
1013175009,16
1013175033,36
1013175363,40
1013175918,8
1013176122,8
1013176213,66
1013176551,66
1013176718,41
1013176999,41
1013177500,1
1013177690,26
1013177906,1
1013177906,8
1013178102,41
1013179126,68
1013179126,78
1013179399,41
1013180579,40
1013180785,2
1013180926,36
1013181254,66
1013182138,5
1013183334,6
1013183334,41
1013183342,8
1013183599,41
1013183805,66
1013183813,13
1013184290,20
1013186923,8
1013188051,6
1013188721,1
1013188721,41
1013189646,67
1013189729,35
1013189729,40
1013190370,29
1013190693,10
1013190693,40
1013191378,1
1013192426,79
1013193101,41
1013193150,41
1013193259,41
1013193705,41
1013193705,68
1013193705,78
1013195387,36
1013195452,13
1013196575,30
1013196591,40
1013196609,41
1013197045,16
1013198696,66
1013198993,41
1013199041,41
1013199843,8
1013199868,7
1013200278,40
1013201722,89
1013201789,30
1013202274,66
1013202365,25
1013202589,8
1013202738,8
1013203157,40
1013203157,77
1013203165,34
1013203306,41
1013204759,30
1013206051,1
1013206382,15
1013206440,41
1013206648,41
1013207166,36
1013207166,41
1013207547,16
1013208552,36
1013208826,41
1013209568,3
1013209568,41
1013210756,1
1013211135,1
1013211580,8
1013212265,41
1013212430,40
1013215219,8
1013216951,22
1013218387,16
1013218544,29
1013218544,41
1013218551,66
1013218908,8
1013219393,6
1013219393,29
1013219393,41
1013220128,5
1013220136,1
1013220656,5
1013220854,41
1013221845,66
1013222066,20
1013223064,6
1013223072,8
1013224195,41
1013224401,66
1013224591,66
1013226802,40
1013226877,1
1013228154,1
1013228154,40
1013228154,68
1013228188,8
1013228261,20
1013229384,36
1013229707,41
1013229871,16
1013231091,2
1013232347,2
1013232347,33
1013232537,7
1013232586,1
1013232792,30
1013232917,2
1013233212,30
1013233576,25
1013233642,34
1013233766,40
1013233790,20
1013233964,41
1013234251,5
1013235605,16
1013235811,5
1013235969,20
1013236439,66
1013236769,26
1013237064,26
1013237080,20
1013237361,30
1013237445,5
1013237619,8
1013238302,45
1013238575,8
1013238930,30
1013239060,40
1013241009,8
1013243740,16
1013246867,41
1013247485,89
1013247899,30
1013250463,6
1013250497,41
1013250604,41
1013250869,41
1013250935,41
1013257609,9
1013257609,15
1013257674,45
1013257872,41
1013258342,30
1013258730,18
1013259415,36
1013261908,20
1013262104,18
1013262492,41
1013263193,36
1013264506,83
1013265693,8
1013268069,5
1013270164,18
1013270487,66
1013270867,5
1013271147,41
1013271337,5
1013273283,41
1013273499,36
1013273713,26
1013273713,36
1013273796,1
1013274380,36
1013274679,40
1013275262,36
1013275270,1
1013275270,8
1013275700,30
1013276104,67
1013276484,16
1013276575,10
1013276872,6
1013276872,41
1013277045,7
1013277102,41
1013277342,68
1013278118,18
1013278134,66
1013278647,16
1013278704,40
1013278704,41
1013279645,18
1013282243,41
1013283837,1
1013284702,41
1013285295,41
1013286772,5
1013288273,30
1013288463,2
